Season,DateTime,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,GoalDifference,ShotsEffiency_Home,ShotsEffiency_Away,HomeTeamPoints,AwayTeamPoints,HomeTeamGoalDifference,AwayTeamGoalDifference
2021-22,2022-04-02T15:00:00Z,Leeds,Southampton,1,1,0,1,0,H,A Taylor,12,14,3,6,4,7,14,7,1,1,0,0,0,0.25,0.42857142857142855,21,27,-33,-9.0
2021-22,2022-04-02T15:00:00Z,Wolves,Aston Villa,2,1,1,2,0,H,D England,11,15,5,5,4,9,15,8,4,3,0,0,1,0.45454545454545453,0.3333333333333333,25,18,6,0.0
2021-22,2022-04-02T17:30:00Z,Man United,Leicester,1,1,0,0,0,D,A Marriner,11,11,5,3,6,5,13,6,2,2,0,0,0,0.45454545454545453,0.2727272727272727,33,28,8,-4.0
2021-22,2022-04-03T14:00:00Z,West Ham,Everton,2,1,1,1,0,H,M Oliver,11,13,5,2,2,4,9,12,1,1,0,1,1,0.45454545454545453,0.15384615384615385,33,22,11,-19.0
2021-22,2022-04-03T16:30:00Z,Tottenham,Newcastle,5,1,1,1,1,D,M Atkinson,19,8,6,1,2,3,10,7,2,3,0,0,4,0.3157894736842105,0.125,33,22,15,-21.0
2021-22,2022-04-04T20:00:00Z,Crystal Palace,Arsenal,3,0,1,2,0,H,P Tierney,6,12,5,3,0,2,11,15,0,2,0,0,3,0.8333333333333334,0.25,28,33,4,10.0
2021-22,2022-04-06T19:30:00Z,Burnley,Everton,3,2,1,1,2,A,M Dean,13,16,4,4,9,6,11,16,2,2,0,0,1,0.3076923076923077,0.25,21,22,-17,-20.0
2021-22,2022-04-08T20:00:00Z,Newcastle,Wolves,1,0,1,0,0,D,P Bankes,12,5,4,2,1,2,6,13,1,1,0,0,1,0.3333333333333333,0.4,25,25,-20,5.0
2021-22,2022-04-09T12:30:00Z,Everton,Man United,1,0,1,1,0,H,J Moss,7,12,3,4,5,7,4,10,2,2,0,0,1,0.42857142857142855,0.3333333333333333,25,33,-19,7.0
2021-22,2022-04-09T15:00:00Z,Arsenal,Brighton,1,2,-1,0,1,A,D Coote,20,8,4,3,11,2,12,19,3,4,0,0,-1,0.2,0.375,33,22,9,-9.0
2021-22,2022-04-09T15:00:00Z,Southampton,Chelsea,0,6,-1,0,4,A,K Friend,4,24,1,14,3,3,11,10,1,0,0,0,-6,0.25,0.5833333333333334,27,29,-15,41.0
2021-22,2022-04-09T15:00:00Z,Watford,Leeds,0,3,-1,0,1,A,A Marriner,8,10,1,5,3,8,8,12,2,0,0,0,-3,0.125,0.5,10,21,-31,-30.0
2021-22,2022-04-09T17:30:00Z,Aston Villa,Tottenham,0,4,-1,0,1,A,G Scott,9,11,8,5,9,3,12,14,2,3,0,0,-4,0.8888888888888888,0.45454545454545453,18,33,-4,19.0
2021-22,2022-04-10T14:00:00Z,Brentford,West Ham,2,0,1,0,0,D,M Atkinson,15,5,7,1,4,6,2,6,0,1,0,0,2,0.4666666666666667,0.2,24,33,-9,9.0
2021-22,2022-04-10T14:00:00Z,Leicester,Crystal Palace,2,1,1,2,0,H,R Jones,12,11,3,3,3,4,11,12,1,1,0,0,1,0.25,0.2727272727272727,31,28,-3,3.0
2021-22,2022-04-10T14:00:00Z,Norwich,Burnley,2,0,1,1,0,H,M Oliver,17,18,6,4,6,7,12,10,1,1,0,0,2,0.35294117647058826,0.2222222222222222,15,21,-43,-19.0
2021-22,2022-04-10T16:30:00Z,Man City,Liverpool,2,2,0,2,1,H,A Taylor,11,6,5,4,4,1,9,11,1,4,0,0,0,0.45454545454545453,0.6666666666666666,38,43,52,57.0
