Season,DateTime,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,GoalDifference,ShotsEffiency_Home,ShotsEffiency_Away,HomeTeamPoints,AwayTeamPoints,HomeTeamGoalDifference,AwayTeamGoalDifference
2021-22,2021-09-27T20:00:00Z,Crystal Palace,Brighton,1,1,0,1,0,H,A Marriner,8,8,3,4,6,5,12,10,2,3,0,0,0,0.375,0.5,6,7,-3,3.0
2021-22,2021-10-02T12:30:00Z,Man United,Everton,1,1,0,1,0,H,M Oliver,13,12,6,2,10,1,10,9,1,1,0,0,0,0.46153846153846156,0.16666666666666666,8,11,8,5.0
2021-22,2021-10-02T15:00:00Z,Burnley,Norwich,0,0,0,0,0,D,K Friend,14,10,4,2,9,5,13,3,5,2,0,0,0,0.2857142857142857,0.2,3,1,-6,-14.0
2021-22,2021-10-02T15:00:00Z,Chelsea,Southampton,3,1,1,1,0,H,M Atkinson,20,6,9,2,7,2,11,13,1,3,0,1,2,0.45,0.3333333333333333,10,4,12,-5.0
2021-22,2021-10-02T15:00:00Z,Leeds,Watford,1,0,1,1,0,H,S Hooper,20,5,4,1,6,3,10,16,0,3,0,0,1,0.2,0.2,6,4,-7,-3.0
2021-22,2021-10-02T15:00:00Z,Wolves,Newcastle,2,1,1,1,1,D,G Scott,7,8,3,2,0,4,15,5,0,2,0,0,1,0.42857142857142855,0.25,3,3,-1,-8.0
2021-22,2021-10-02T17:30:00Z,Brighton,Arsenal,0,0,0,0,0,D,J Moss,21,8,2,2,8,5,8,5,2,1,0,0,0,0.09523809523809523,0.25,8,7,3,-5.0
2021-22,2021-10-03T14:00:00Z,Crystal Palace,Leicester,2,2,0,0,2,A,A Taylor,18,9,4,5,1,3,15,11,2,3,0,0,0,0.2222222222222222,0.5555555555555556,7,5,-3,-3.0
2021-22,2021-10-03T14:00:00Z,Tottenham,Aston Villa,2,1,1,1,0,H,C Kavanagh,17,14,8,3,5,8,11,14,2,1,0,0,1,0.47058823529411764,0.21428571428571427,9,7,-4,1.0
2021-22,2021-10-03T14:00:00Z,West Ham,Brentford,1,2,-1,0,1,A,P Bankes,18,13,5,6,11,6,16,13,2,3,0,0,-1,0.2777777777777778,0.46153846153846156,5,6,4,4.0
2021-22,2021-10-03T16:30:00Z,Liverpool,Man City,2,2,0,0,0,D,P Tierney,6,12,4,3,3,4,10,12,3,3,0,0,0,0.6666666666666666,0.25,9,8,11,11.0
2021-22,2021-10-16T12:30:00Z,Watford,Liverpool,0,5,-1,0,2,A,J Moss,6,19,2,8,1,9,4,10,0,0,0,0,-5,0.3333333333333333,0.42105263157894735,4,9,-8,16.0
2021-22,2021-10-16T15:00:00Z,Aston Villa,Wolves,2,3,-1,0,0,D,M Oliver,14,9,5,4,6,7,8,17,2,3,0,0,-1,0.35714285714285715,0.4444444444444444,7,3,0,0.0
2021-22,2021-10-16T15:00:00Z,Leicester,Man United,4,2,1,1,1,D,C Pawson,22,18,11,6,4,3,5,17,0,3,0,0,2,0.5,0.3333333333333333,8,8,-1,6.0
2021-22,2021-10-16T15:00:00Z,Man City,Burnley,2,0,1,1,0,H,M Atkinson,15,7,6,2,6,2,11,5,1,0,0,0,2,0.4,0.2857142857142857,11,3,13,-8.0
2021-22,2021-10-16T15:00:00Z,Norwich,Brighton,0,0,0,0,0,D,P Bankes,15,11,3,3,8,4,5,14,3,5,0,0,0,0.2,0.2727272727272727,2,9,-14,3.0
2021-22,2021-10-16T15:00:00Z,Southampton,Leeds,1,0,1,0,0,D,D Coote,19,3,5,0,8,1,16,14,2,3,0,0,1,0.2631578947368421,0.0,7,6,-4,-8.0
2021-22,2021-10-16T17:30:00Z,Brentford,Chelsea,0,1,-1,0,1,A,A Taylor,17,5,7,1,5,5,13,8,1,1,0,0,-1,0.4117647058823529,0.2,6,10,3,13.0
2021-22,2021-10-17T14:00:00Z,Everton,West Ham,0,1,-1,0,0,D,S Attwell,15,16,2,4,7,9,3,3,0,2,0,0,-1,0.13333333333333333,0.25,11,5,4,5.0
2021-22,2021-10-17T16:30:00Z,Newcastle,Tottenham,2,3,-1,1,3,A,A Marriner,7,14,1,4,2,9,13,4,4,1,1,0,-1,0.14285714285714285,0.2857142857142857,3,9,-9,-3.0
2021-22,2021-10-18T20:00:00Z,Arsenal,Crystal Palace,2,2,0,1,0,H,M Dean,17,9,6,6,6,4,7,4,1,1,0,0,0,0.35294117647058826,0.6666666666666666,8,8,-5,-3.0
2021-22,2021-10-22T20:00:00Z,Arsenal,Aston Villa,3,1,1,2,0,H,C Pawson,22,10,9,4,7,4,17,10,2,5,0,0,2,0.4090909090909091,0.4,11,7,-3,-2.0
2021-22,2021-10-23T12:30:00Z,Chelsea,Norwich,7,0,1,3,0,H,A Madley,23,3,13,1,5,0,14,16,0,2,0,1,7,0.5652173913043478,0.3333333333333333,13,2,20,-21.0
2021-22,2021-10-23T15:00:00Z,Crystal Palace,Newcastle,1,1,0,0,0,D,D England,15,6,3,2,3,7,13,9,3,4,0,0,0,0.2,0.3333333333333333,9,4,-3,-9.0
2021-22,2021-10-23T15:00:00Z,Everton,Watford,2,5,-1,1,1,D,G Scott,15,20,4,8,3,5,9,13,4,3,0,0,-3,0.26666666666666666,0.4,11,4,1,-5.0
2021-22,2021-10-23T15:00:00Z,Leeds,Wolves,1,1,0,0,1,A,R Jones,18,8,4,4,6,3,15,14,2,3,0,0,0,0.2222222222222222,0.5,7,4,-8,0.0
2021-22,2021-10-23T15:00:00Z,Southampton,Burnley,2,2,0,1,1,D,C Kavanagh,16,9,4,5,6,2,10,11,1,3,0,0,0,0.25,0.5555555555555556,8,4,-4,-8.0
2021-22,2021-10-23T17:30:00Z,Brighton,Man City,1,4,-1,0,3,A,K Friend,10,23,5,14,7,6,10,6,2,3,0,0,-3,0.5,0.6086956521739131,9,11,0,16.0
2021-22,2021-10-24T14:00:00Z,Brentford,Leicester,1,2,-1,0,1,A,S Hooper,15,10,5,6,9,2,13,7,1,1,0,0,-1,0.3333333333333333,0.6,6,8,2,0.0
2021-22,2021-10-24T14:00:00Z,West Ham,Tottenham,1,0,1,0,0,D,P Tierney,13,7,4,4,2,4,11,4,2,1,0,0,1,0.3076923076923077,0.5714285714285714,8,9,6,-4.0
2021-22,2021-10-24T16:30:00Z,Man United,Liverpool,0,5,-1,0,4,A,A Taylor,12,19,4,8,6,3,10,8,6,0,1,0,-5,0.3333333333333333,0.42105263157894735,8,9,1,21.0
2021-22,2021-10-30T12:30:00Z,Leicester,Arsenal,0,2,-1,0,2,A,M Oliver,16,9,8,5,7,6,8,11,2,0,0,0,-2,0.5,0.5555555555555556,8,11,-2,-1.0
2021-22,2021-10-30T15:00:00Z,Burnley,Brentford,3,1,1,3,0,H,J Moss,15,12,6,5,4,2,7,10,1,1,0,0,2,0.4,0.4166666666666667,7,6,-6,0.0
2021-22,2021-10-30T15:00:00Z,Liverpool,Brighton,2,2,0,2,1,H,M Dean,14,9,3,6,5,3,8,5,2,2,0,0,0,0.21428571428571427,0.6666666666666666,10,10,21,0.0
2021-22,2021-10-30T15:00:00Z,Man City,Crystal Palace,0,2,-1,0,1,A,A Marriner,14,8,3,3,7,1,11,11,2,3,1,0,-2,0.21428571428571427,0.375,11,9,14,-1.0
2021-22,2021-10-30T15:00:00Z,Newcastle,Chelsea,0,3,-1,0,0,D,P Tierney,6,19,1,6,0,2,14,12,3,2,0,0,-3,0.16666666666666666,0.3157894736842105,4,13,-12,23.0
2021-22,2021-10-30T15:00:00Z,Watford,Southampton,0,1,-1,0,1,A,P Bankes,10,12,4,1,5,8,16,6,2,2,0,0,-1,0.4,0.08333333333333333,4,8,-6,-3.0
2021-22,2021-10-30T17:30:00Z,Tottenham,Man United,0,3,-1,0,1,A,S Attwell,9,10,0,4,10,2,12,14,2,3,0,0,-3,0.0,0.4,9,8,-7,4.0
2021-22,2021-10-31T14:00:00Z,Norwich,Leeds,1,2,-1,0,0,D,A Taylor,14,13,3,6,5,0,14,23,1,4,0,0,-1,0.21428571428571427,0.46153846153846156,2,7,-22,-7.0
2021-22,2021-10-31T16:30:00Z,Aston Villa,West Ham,1,4,-1,1,2,A,C Kavanagh,9,21,3,9,3,6,7,13,1,2,1,0,-3,0.3333333333333333,0.42857142857142855,7,8,-5,9.0
2021-22,2021-11-01T20:00:00Z,Wolves,Everton,2,1,1,2,0,H,M Atkinson,10,14,4,5,4,3,10,8,1,1,0,0,1,0.4,0.35714285714285715,7,11,1,0.0
2021-22,2021-11-05T20:00:00Z,Southampton,Aston Villa,1,0,1,1,0,H,A Madley,9,14,3,3,10,8,12,12,2,2,0,0,1,0.3333333333333333,0.21428571428571427,11,7,-2,-6.0
2021-22,2021-11-06T12:30:00Z,Man United,Man City,0,2,-1,0,2,A,M Oliver,5,16,1,5,1,9,9,12,1,2,0,0,-2,0.2,0.3125,8,11,2,16.0
2021-22,2021-11-06T15:00:00Z,Brentford,Norwich,1,2,-1,0,2,A,J Gillett,19,9,7,5,6,2,12,13,2,3,0,0,-1,0.3684210526315789,0.5555555555555556,6,2,-1,-21.0
2021-22,2021-11-06T15:00:00Z,Chelsea,Burnley,1,1,0,1,0,H,A Marriner,25,5,4,2,14,2,6,9,1,4,0,0,0,0.16,0.4,14,8,23,-6.0
2021-22,2021-11-06T15:00:00Z,Crystal Palace,Wolves,2,0,1,0,0,D,G Scott,13,4,6,2,4,6,14,13,2,1,0,0,2,0.46153846153846156,0.5,12,7,1,-1.0
2021-22,2021-11-06T17:30:00Z,Brighton,Newcastle,1,1,0,1,0,H,D Coote,14,6,5,1,2,5,16,10,3,4,1,0,0,0.35714285714285715,0.16666666666666666,11,5,0,-12.0
2021-22,2021-11-07T14:00:00Z,Arsenal,Watford,1,0,1,0,0,D,K Friend,14,7,6,1,4,2,6,19,4,2,0,1,1,0.42857142857142855,0.14285714285714285,14,4,0,-7.0
2021-22,2021-11-07T14:00:00Z,Everton,Tottenham,0,0,0,0,0,D,C Kavanagh,12,8,2,0,4,2,13,17,2,4,1,0,0,0.16666666666666666,0.0,12,10,0,-7.0
2021-22,2021-11-07T14:00:00Z,Leeds,Leicester,1,1,0,1,1,D,D England,18,9,5,3,10,5,12,5,1,1,0,0,0,0.2777777777777778,0.3333333333333333,8,9,-7,-2.0
2021-22,2021-11-07T16:30:00Z,West Ham,Liverpool,3,2,1,1,1,D,C Pawson,7,16,3,5,3,2,11,6,1,1,0,0,1,0.42857142857142855,0.3125,11,10,10,20.0
2021-22,2021-11-20T12:30:00Z,Leicester,Chelsea,0,3,-1,0,2,A,P Tierney,4,16,3,7,3,5,15,8,3,1,0,0,-3,0.75,0.4375,9,14,-5,26.0
2021-22,2021-11-20T15:00:00Z,Aston Villa,Brighton,2,0,1,0,0,D,A Taylor,9,6,5,2,5,7,7,13,3,3,0,0,2,0.5555555555555556,0.3333333333333333,10,11,-4,-2.0
2021-22,2021-11-20T15:00:00Z,Burnley,Crystal Palace,3,3,0,2,3,A,S Hooper,15,18,9,8,3,6,14,15,2,3,0,0,0,0.6,0.4444444444444444,9,13,-6,1.0
2021-22,2021-11-20T15:00:00Z,Newcastle,Brentford,3,3,0,2,2,D,R Jones,23,10,9,4,8,2,13,11,2,2,0,0,0,0.391304347826087,0.4,6,7,-12,-1.0
2021-22,2021-11-20T15:00:00Z,Norwich,Southampton,2,1,1,1,1,D,M Atkinson,8,17,4,5,5,7,8,9,3,2,0,0,1,0.5,0.29411764705882354,5,11,-20,-3.0
2021-22,2021-11-20T15:00:00Z,Watford,Man United,4,1,1,2,0,H,J Moss,20,9,7,3,9,3,7,5,2,1,0,1,3,0.35,0.3333333333333333,7,8,-4,-1.0
2021-22,2021-11-20T15:00:00Z,Wolves,West Ham,1,0,1,0,0,D,M Dean,15,8,5,3,7,3,6,9,1,1,0,0,1,0.3333333333333333,0.375,10,11,0,9.0
2021-22,2021-11-20T17:30:00Z,Liverpool,Arsenal,4,0,1,1,0,H,M Oliver,19,5,9,3,6,1,15,12,2,0,0,0,4,0.47368421052631576,0.6,13,14,24,-4.0
2021-22,2021-11-21T14:00:00Z,Man City,Everton,3,0,1,1,0,H,S Attwell,17,4,7,1,7,1,5,7,1,1,0,0,3,0.4117647058823529,0.25,14,12,19,-3.0
2021-22,2021-11-21T16:30:00Z,Tottenham,Leeds,2,1,1,0,1,A,A Marriner,13,18,4,7,4,8,11,12,1,4,0,0,1,0.3076923076923077,0.3888888888888889,13,8,-6,-8.0
2021-22,2021-11-27T12:30:00Z,Arsenal,Newcastle,2,0,1,0,0,D,S Attwell,24,9,6,5,4,4,6,12,1,3,0,0,2,0.25,0.5555555555555556,17,6,-2,-14.0
2021-22,2021-11-27T15:00:00Z,Crystal Palace,Aston Villa,1,2,-1,0,1,A,M Salisbury,8,10,3,3,7,3,12,10,3,3,0,0,-1,0.375,0.3,13,10,0,-3.0
2021-22,2021-11-27T15:00:00Z,Liverpool,Southampton,4,0,1,3,0,H,A Marriner,20,7,6,3,5,7,7,14,0,1,0,0,4,0.3,0.42857142857142855,16,11,28,-7.0
2021-22,2021-11-27T15:00:00Z,Norwich,Wolves,0,0,0,0,0,D,S Hooper,14,5,4,2,4,3,11,10,2,2,0,0,0,0.2857142857142857,0.4,6,11,-20,0.0
2021-22,2021-11-27T17:30:00Z,Brighton,Leeds,0,0,0,0,0,D,C Pawson,20,11,4,4,6,1,12,14,1,3,0,0,0,0.2,0.36363636363636365,12,9,-2,-8.0
2021-22,2021-11-28T14:00:00Z,Brentford,Everton,1,0,1,1,0,H,D England,6,14,4,5,3,3,8,11,4,3,0,0,1,0.6666666666666666,0.35714285714285715,10,12,0,-4.0
2021-22,2021-11-28T14:00:00Z,Leicester,Watford,4,2,1,3,1,H,A Madley,18,16,8,5,8,6,5,19,0,0,0,0,2,0.4444444444444444,0.3125,12,7,-3,-6.0
2021-22,2021-11-28T14:00:00Z,Man City,West Ham,2,1,1,1,0,H,M Oliver,19,5,9,3,8,4,7,6,2,0,0,0,1,0.47368421052631576,0.6,17,11,20,8.0
2021-22,2021-11-28T16:30:00Z,Chelsea,Man United,1,1,0,0,0,D,A Taylor,24,3,6,2,15,2,13,14,2,5,0,0,0,0.25,0.6666666666666666,15,9,26,-1.0
2021-22,2021-11-30T19:30:00Z,Newcastle,Norwich,1,1,0,0,0,D,A Madley,9,16,1,6,2,5,8,11,0,0,0,1,0,0.1111111111111111,0.375,7,7,-14,-20.0
2021-22,2021-11-30T20:15:00Z,Leeds,Crystal Palace,1,0,1,0,0,D,K Friend,15,9,3,1,7,4,15,15,5,3,0,0,1,0.2,0.1111111111111111,12,13,-7,-1.0
2021-22,2021-12-01T19:30:00Z,Southampton,Leicester,2,2,0,2,1,H,R Jones,15,15,7,6,2,4,14,11,1,3,0,0,0,0.4666666666666667,0.4,12,13,-7,-3.0
2021-22,2021-12-01T19:30:00Z,Watford,Chelsea,1,2,-1,1,1,D,D Coote,13,8,6,4,6,0,18,16,4,3,0,0,-1,0.46153846153846156,0.5,7,15,-7,27.0
2021-22,2021-12-01T19:30:00Z,West Ham,Brighton,1,1,0,1,0,H,C Kavanagh,14,9,6,3,9,5,10,8,1,1,0,0,0,0.42857142857142855,0.3333333333333333,12,13,8,-2.0
2021-22,2021-12-01T19:30:00Z,Wolves,Burnley,0,0,0,0,0,D,J Brooks,16,6,2,1,5,5,5,7,2,3,0,0,0,0.125,0.16666666666666666,12,10,0,-6.0
2021-22,2021-12-01T20:15:00Z,Aston Villa,Man City,1,2,-1,0,2,A,M Dean,9,17,3,7,4,11,8,12,0,0,0,0,-1,0.3333333333333333,0.4117647058823529,10,17,-4,21.0
2021-22,2021-12-01T20:15:00Z,Everton,Liverpool,1,4,-1,1,2,A,P Tierney,8,16,2,7,3,11,8,16,4,3,0,0,-3,0.25,0.4375,12,16,-7,31.0
2021-22,2021-12-02T19:30:00Z,Tottenham,Brentford,2,0,1,1,0,H,J Moss,11,6,6,2,11,5,13,11,0,0,0,0,2,0.5454545454545454,0.3333333333333333,16,10,-4,-2.0
2021-22,2021-12-02T20:15:00Z,Man United,Arsenal,3,2,1,1,1,D,M Atkinson,14,17,10,8,3,8,9,10,1,0,0,0,1,0.7142857142857143,0.47058823529411764,12,17,0,-3.0
2021-22,2021-12-04T12:30:00Z,West Ham,Chelsea,3,2,1,1,2,A,A Marriner,11,19,5,7,1,9,10,10,1,3,0,0,1,0.45454545454545453,0.3684210526315789,15,15,9,26.0
2021-22,2021-12-04T15:00:00Z,Newcastle,Burnley,1,0,1,1,0,H,P Tierney,19,10,4,1,10,3,11,9,1,1,0,0,1,0.21052631578947367,0.1,10,10,-13,-7.0
2021-22,2021-12-04T15:00:00Z,Southampton,Brighton,1,1,0,1,0,H,A Taylor,14,14,4,4,6,2,15,12,4,2,0,0,0,0.2857142857142857,0.2857142857142857,13,14,-7,-2.0
2021-22,2021-12-04T15:00:00Z,Wolves,Liverpool,0,1,-1,0,0,D,C Kavanagh,3,17,1,5,2,8,4,7,2,2,0,0,-1,0.3333333333333333,0.29411764705882354,12,16,-1,32.0
2021-22,2021-12-04T17:30:00Z,Watford,Man City,1,3,-1,0,2,A,S Hooper,11,26,4,13,5,11,10,7,3,0,0,0,-2,0.36363636363636365,0.5,7,17,-9,23.0
2021-22,2021-12-05T14:00:00Z,Leeds,Brentford,2,2,0,1,0,H,D Coote,13,9,6,3,5,1,11,9,5,3,0,0,0,0.46153846153846156,0.3333333333333333,13,11,-7,-2.0
2021-22,2021-12-05T14:00:00Z,Man United,Crystal Palace,1,0,1,0,0,D,C Pawson,16,8,3,2,9,6,16,9,2,2,0,0,1,0.1875,0.25,15,13,1,-2.0
2021-22,2021-12-05T14:00:00Z,Tottenham,Norwich,3,0,1,1,0,H,J Gillett,17,10,7,1,6,4,11,4,1,2,0,0,3,0.4117647058823529,0.1,19,7,-1,-23.0
2021-22,2021-12-05T16:30:00Z,Aston Villa,Leicester,2,1,1,1,1,D,M Oliver,13,12,4,5,3,6,8,25,1,1,0,0,1,0.3076923076923077,0.4166666666666667,13,13,-3,-4.0
2021-22,2021-12-06T20:00:00Z,Everton,Arsenal,2,1,1,0,1,A,M Dean,11,10,5,3,3,3,8,12,2,2,0,0,1,0.45454545454545453,0.3,15,17,-6,-4.0
2021-22,2021-12-10T20:00:00Z,Brentford,Watford,2,1,1,0,1,A,M Oliver,14,6,5,2,8,2,12,18,4,0,0,0,1,0.35714285714285715,0.3333333333333333,14,7,-1,-10.0
2021-22,2021-12-11T12:30:00Z,Man City,Wolves,1,0,1,0,0,D,J Moss,24,2,10,1,14,1,12,5,3,2,0,1,1,0.4166666666666667,0.5,20,12,24,-2.0
2021-22,2021-12-11T15:00:00Z,Arsenal,Southampton,3,0,1,2,0,H,J Gillett,15,11,5,6,9,8,5,9,2,0,0,0,3,0.3333333333333333,0.5454545454545454,20,13,-1,-10.0
2021-22,2021-12-11T15:00:00Z,Chelsea,Leeds,3,2,1,1,1,D,C Kavanagh,16,12,6,5,5,2,9,15,2,5,0,0,1,0.375,0.4166666666666667,18,13,27,-8.0
2021-22,2021-12-11T15:00:00Z,Liverpool,Aston Villa,1,0,1,0,0,D,S Attwell,20,4,5,0,11,3,13,6,1,2,0,0,1,0.25,0.0,19,13,33,-4.0
2021-22,2021-12-11T17:30:00Z,Norwich,Man United,0,1,-1,0,0,D,D England,11,13,5,5,8,6,6,17,1,1,0,0,-1,0.45454545454545453,0.38461538461538464,7,15,-24,2.0
2021-22,2021-12-12T14:00:00Z,Burnley,West Ham,0,0,0,0,0,D,G Scott,9,16,1,3,6,4,13,11,2,1,0,0,0,0.1111111111111111,0.1875,11,16,-7,9.0
2021-22,2021-12-12T14:00:00Z,Leicester,Newcastle,4,0,1,1,0,H,P Bankes,8,12,5,3,4,6,9,16,2,3,0,0,4,0.625,0.25,16,10,0,-17.0
2021-22,2021-12-12T16:30:00Z,Crystal Palace,Everton,3,1,1,1,0,H,A Madley,17,12,6,6,8,2,15,14,0,2,0,0,2,0.35294117647058826,0.5,16,15,0,-8.0
2021-22,2021-12-14T19:45:00Z,Norwich,Aston Villa,0,2,-1,0,1,A,D Coote,7,17,3,6,7,10,12,9,3,1,0,0,-2,0.42857142857142855,0.35294117647058826,7,13,-26,-2.0
2021-22,2021-12-14T20:00:00Z,Man City,Leeds,7,0,1,3,0,H,P Tierney,31,6,15,3,6,2,5,9,1,1,0,0,7,0.4838709677419355,0.5,23,13,31,-15.0
2021-22,2021-12-15T19:30:00Z,Brighton,Wolves,0,1,-1,0,1,A,T Harrington,12,8,2,5,7,4,11,14,2,0,0,0,-1,0.16666666666666666,0.625,14,12,-3,-1.0
2021-22,2021-12-15T19:30:00Z,Crystal Palace,Southampton,2,2,0,1,2,A,S Hooper,9,15,6,4,4,6,16,20,2,4,0,0,0,0.6666666666666666,0.26666666666666666,17,14,0,-10.0
2021-22,2021-12-15T20:00:00Z,Arsenal,West Ham,2,0,1,0,0,D,A Taylor,21,7,8,1,5,2,8,9,2,0,0,1,2,0.38095238095238093,0.14285714285714285,23,16,1,7.0
2021-22,2021-12-16T19:45:00Z,Chelsea,Everton,1,1,0,0,0,D,M Oliver,23,5,10,3,7,1,11,11,2,3,0,0,0,0.43478260869565216,0.6,19,16,27,-8.0
2021-22,2021-12-16T20:00:00Z,Liverpool,Newcastle,3,1,1,2,1,H,M Dean,23,4,8,2,11,0,9,4,1,3,0,0,2,0.34782608695652173,0.5,22,10,35,-19.0
2021-22,2021-12-18T17:30:00Z,Leeds,Arsenal,1,4,-1,0,3,A,A Marriner,9,21,2,12,1,4,11,7,3,1,0,0,-3,0.2222222222222222,0.5714285714285714,13,23,-18,4.0
2021-22,2021-12-19T14:00:00Z,Newcastle,Man City,0,4,-1,0,2,A,M Atkinson,5,18,1,7,3,6,9,6,1,2,0,0,-4,0.2,0.3888888888888889,10,23,-23,35.0
2021-22,2021-12-19T14:00:00Z,Wolves,Chelsea,0,0,0,0,0,D,D Coote,4,8,1,1,4,9,9,7,0,2,0,0,0,0.25,0.125,13,20,-1,27.0
2021-22,2021-12-19T16:30:00Z,Tottenham,Liverpool,2,2,0,1,1,D,P Tierney,10,18,5,6,6,4,12,11,4,4,0,1,0,0.5,0.3333333333333333,20,23,-1,35.0
2021-22,2021-12-26T15:00:00Z,Man City,Leicester,6,3,1,4,0,H,C Kavanagh,17,14,9,8,14,4,11,9,1,2,0,0,3,0.5294117647058824,0.5714285714285714,26,16,38,-3.0
2021-22,2021-12-26T15:00:00Z,Norwich,Arsenal,0,5,-1,0,2,A,G Scott,4,16,2,6,3,5,13,7,1,2,0,0,-5,0.5,0.375,7,23,-31,9.0
2021-22,2021-12-26T15:00:00Z,Tottenham,Crystal Palace,3,0,1,2,0,H,J Moss,17,4,6,0,4,2,16,10,1,1,0,1,3,0.35294117647058826,0.0,23,17,2,-3.0
2021-22,2021-12-26T15:00:00Z,West Ham,Southampton,2,3,-1,0,1,A,K Friend,11,11,5,6,10,2,10,9,2,3,0,0,-1,0.45454545454545453,0.5454545454545454,16,14,6,-9.0
2021-22,2021-12-26T17:30:00Z,Aston Villa,Chelsea,1,3,-1,1,1,D,M Atkinson,8,10,1,4,2,5,8,11,3,1,0,0,-2,0.125,0.4,13,20,-4,29.0
2021-22,2021-12-26T20:00:00Z,Brighton,Brentford,2,0,1,2,0,H,D England,15,16,5,6,6,9,8,10,1,3,0,0,2,0.3333333333333333,0.375,17,14,-1,-3.0
2021-22,2021-12-27T20:00:00Z,Newcastle,Man United,1,1,0,1,0,H,C Pawson,13,13,8,4,2,4,11,8,3,3,0,0,0,0.6153846153846154,0.3076923076923077,11,16,-23,2.0
2021-22,2021-12-28T15:00:00Z,Crystal Palace,Norwich,3,0,1,3,0,H,P Tierney,19,12,6,3,8,8,9,13,1,2,0,0,3,0.3157894736842105,0.25,20,7,0,-34.0
2021-22,2021-12-28T15:00:00Z,Southampton,Tottenham,1,1,0,1,1,D,A Taylor,9,21,2,11,3,7,15,5,2,2,1,0,0,0.2222222222222222,0.5238095238095238,15,24,-9,2.0
2021-22,2021-12-28T15:00:00Z,Watford,West Ham,1,4,-1,1,2,A,D England,14,13,5,6,4,5,12,12,0,1,0,0,-3,0.35714285714285715,0.46153846153846156,7,16,-13,9.0
2021-22,2021-12-28T20:00:00Z,Leicester,Liverpool,1,0,1,0,0,D,M Oliver,6,21,1,4,1,12,8,11,0,1,0,0,1,0.16666666666666666,0.19047619047619047,19,23,-2,34.0
2021-22,2021-12-29T19:30:00Z,Chelsea,Brighton,1,1,0,1,0,H,M Dean,11,18,5,6,10,8,14,7,4,1,0,0,0,0.45454545454545453,0.3333333333333333,21,18,29,-1.0
2021-22,2021-12-29T20:15:00Z,Brentford,Man City,0,1,-1,0,1,A,D Coote,6,12,2,3,3,5,12,10,0,0,0,0,-1,0.3333333333333333,0.25,14,26,-4,39.0
2021-22,2021-12-30T20:15:00Z,Man United,Burnley,3,1,1,3,1,H,J Moss,18,10,6,3,7,5,5,10,0,0,0,0,2,0.3333333333333333,0.3,19,11,4,-9.0
2021-22,2022-01-01T12:30:00Z,Arsenal,Man City,1,2,-1,1,0,H,S Attwell,7,15,2,2,5,5,13,5,3,2,1,0,-1,0.2857142857142857,0.13333333333333333,23,26,8,40.0
2021-22,2022-01-01T15:00:00Z,Watford,Tottenham,0,1,-1,0,0,D,R Jones,6,21,4,9,3,7,6,9,0,1,0,0,-1,0.6666666666666666,0.42857142857142855,7,24,-14,3.0
2021-22,2022-01-01T17:30:00Z,Crystal Palace,West Ham,2,3,-1,0,3,A,D England,22,10,6,5,9,1,6,16,0,2,0,0,-1,0.2727272727272727,0.5,20,16,-1,10.0
2021-22,2022-01-02T14:00:00Z,Brentford,Aston Villa,2,1,1,1,1,D,C Pawson,10,16,4,5,3,7,17,11,2,2,0,0,1,0.4,0.3125,17,13,-3,-5.0
2021-22,2022-01-02T14:00:00Z,Everton,Brighton,2,3,-1,0,2,A,J Brooks,17,12,6,5,8,5,5,12,1,1,0,0,-1,0.35294117647058826,0.4166666666666667,16,18,-9,0.0
2021-22,2022-01-02T14:00:00Z,Leeds,Burnley,3,1,1,1,0,H,P Tierney,22,8,7,2,9,3,11,7,2,1,0,0,2,0.3181818181818182,0.25,16,11,-16,-11.0
2021-22,2022-01-02T16:30:00Z,Chelsea,Liverpool,2,2,0,2,2,D,A Taylor,15,10,6,6,6,7,5,13,1,2,0,0,0,0.4,0.6,22,24,29,34.0
2021-22,2022-01-03T17:30:00Z,Man United,Wolves,0,1,-1,0,0,D,M Dean,9,19,2,6,3,8,9,8,3,1,0,0,-1,0.2222222222222222,0.3157894736842105,19,13,3,0.0
2021-22,2022-01-11T19:45:00Z,Southampton,Brentford,4,1,1,2,1,H,S Attwell,12,5,6,4,5,2,9,8,0,1,0,0,3,0.5,0.8,18,17,-6,-6.0
2021-22,2022-01-12T19:45:00Z,West Ham,Norwich,2,0,1,1,0,H,S Hooper,13,7,5,3,11,2,9,8,0,0,0,0,2,0.38461538461538464,0.42857142857142855,19,7,12,-36.0
2021-22,2022-01-14T20:00:00Z,Brighton,Crystal Palace,1,1,0,0,0,D,R Jones,19,3,4,1,9,0,11,7,0,2,0,0,0,0.21052631578947367,0.3333333333333333,19,21,0,-1.0
2021-22,2022-01-15T12:30:00Z,Man City,Chelsea,1,0,1,0,0,D,C Pawson,11,4,6,1,9,1,11,6,0,2,0,0,1,0.5454545454545454,0.25,29,22,41,28.0
2021-22,2022-01-15T15:00:00Z,Newcastle,Watford,1,1,0,0,0,D,P Tierney,12,18,1,5,4,6,13,13,3,2,0,0,0,0.08333333333333333,0.2777777777777778,12,8,-23,-14.0
